family,branch,language,count
Indo-European,Balto-Slavic,Polish,37
Indo-European,Balto-Slavic,Lithuanian,1
Indo-European,Balto-Slavic,Czech,1
Indo-European,Balto-Slavic,Slovene,2
Indo-European,Balto-Slavic,Ukrainian,1
Indo-European,Balto-Slavic,Bulgarian,1
Indo-European,Balto-Slavic,Russian,6
Indo-European,Balto-Slavic,Serbian,1
Indo-European,Balto-Slavic,Croatian,1
Indo-European,Italic,Portuguese,54
Indo-European,Italic,Italian,23
Indo-European,Italic,Spanish,49
Indo-European,Italic,French,34
Indo-European,Italic,Romanian,1
Indo-European,Italic,Catalan,1
Indo-European,Italic,Sicilian,1
Indo-European,Greek,Greek,7
Indo-European,Germanic,Afrikaans,14
Indo-European,Germanic,Dutch,6
Indo-European,Germanic,German,21
Indo-European,Germanic,Swedish,2
Indo-European,Indo-Iranian,Bengali,1
Uralic,Hungarian,Hungarian,4
Niger-Congo,Atlantic-Congo,Setswana,13
Niger-Congo,Atlantic-Congo,Zulu,17
Niger-Congo,Atlantic-Congo,Xhosa,7
Niger-Congo,Atlantic-Congo,Northern_Sotho,13
Niger-Congo,Atlantic-Congo,Southern_Sotho,6
Niger-Congo,Atlantic-Congo,Swahili,1
Niger-Congo,Atlantic-Congo,Venda,3
Niger-Congo,Atlantic-Congo,Bemba,1
Niger-Congo,Atlantic-Congo,Shona,1
Niger-Congo,Atlantic-Congo,Birwa,2
Niger-Congo,Atlantic-Congo,Tsonga,2
Niger-Congo,Atlantic-Congo,Swati,1
Sino-Tibetan,Chinese,Yue_Chinese,2
Japonic,Japanese,Japanese,3
Turkic,Southern,Turkish,1
Afro-Asiatic,Semitic,Arabic,1
